Question,Context_Answer,Topic
Ai vô địch Ngoại hạng Anh mùa giải 2025-2026?,"**Arsenal** đã xuất sắc lên ngôi vô địch Ngoại hạng Anh mùa giải 2025-2026, chấm dứt cơn khát danh hiệu kéo dài 22 năm của câu lạc bộ.",Standings
Đội nào vô địch Premier League mùa giải 2024-2025?,**Liverpool** dưới thời HLV Arne Slot đã vô địch Ngoại hạng Anh mùa giải 2024/25.,Standings
Ai vô địch C1 năm 2026?,**Paris Saint-Germain (PSG)** đã vô địch Champions League 2026 sau khi đánh bại Arsenal trên chấm luân lưu với tỷ số 4-3 (hòa 1-1 sau 120 phút). Đây là chức vô địch C1 liên tiếp thứ 2 của họ.,Result
Nhà vô địch Champions League 2025 là đội nào?,**PSG** đã đè bẹp Inter Milan với tỷ số 5-0 trong trận chung kết Champions League 2025 tại Allianz Arena để lên ngôi vô địch.,Result
Ai vô địch Euro 2024?,**Tây Ban Nha** đã giành chức vô địch Euro 2024 sau khi đánh bại Anh với tỷ số 2-1 trong trận chung kết. Mikel Oyarzabal là người ghi bàn quyết định.,Result
Tỷ số trận chung kết Euro 2024?,Trận chung kết Euro 2024 kết thúc với tỷ số **2-1** nghiêng về Tây Ban Nha trước đội tuyển Anh. Các bàn thắng của Tây Ban Nha được ghi do công của Nico Williams và Mikel Oyarzabal.,Result
Đội nào vô địch Copa America 2024?,**Argentina** đã bảo vệ thành công ngôi vương Copa America 2024 sau khi thắng Colombia 1-0 nhờ bàn thắng ở hiệp phụ của Lautaro Martinez.,Result
Messi có đá trận chung kết Copa America không?,"Có, Lionel Messi có đá chính nhưng không may gặp chấn thương mắt cá và phải rời sân giữa chừng trong nước mắt. Dù vậy, đồng đội của anh vẫn giành chiến thắng.",Result
Ai vô địch Ngoại hạng Anh mùa giải 2023-2024?,"**Manchester City** đã lên ngôi vô địch Ngoại hạng Anh 23/24, lập kỷ lục vô địch 4 năm liên tiếp. Họ kết thúc với 91 điểm.",Standings
Bayer Leverkusen có thành tích gì nổi bật mùa giải vừa rồi?,Bayer Leverkusen dưới sự dẫn dắt của Xabi Alonso đã vô địch **Bundesliga với thành tích bất bại** (chưa từng thua trận nào ở giải quốc nội).,Result
Đội nào vô địch C1 năm 2024?,**Real Madrid** đã đoạt chức vô địch UEFA Champions League lần thứ 15 sau khi đánh bại Borussia Dortmund 2-0 tại Wembley.,Result
Kết quả trận chung kết C2 (Europa League)?,"Atalanta đánh bại Bayer Leverkusen 3-0 để giành ngôi vô địch Europa League, nhờ cú hat-trick lịch sử của **Ademola Lookman**.",Result
Arsenal đứng thứ mấy mùa trước?,"Arsenal giành ngôi Á quân Ngoại hạng Anh mùa giải 23/24 với 89 điểm, chỉ kém Man City đúng 2 điểm.",Standings
Manchester United vô địch cúp gì gần đây?,"Manchester United đã đánh bại Man City 2-1 để lên ngôi vô địch **FA Cup 2023-2024**, qua đó giành luôn vé dự Europa League.",Result
Đội bóng nào vô địch V-League 2023/2024?,**Thép Xanh Nam Định** đã giành chức vô địch V-League mùa giải 2023/2024 cực kỳ thuyết phục.,Result
Vua phá lưới Ngoại hạng Anh 23/24 là ai?,**Erling Haaland** giành giải Vua phá lưới (Golden Boot) Premier League với 27 bàn thắng.,Scorers
